,text
0,"ukraine put situation external forces dictate solve internal problems kyiv expected western allies put pressure russia normandy four format however, allies realised confrontation russia cost emmanuel macron angela merkel supported russia position put even bigger pressure ukraine vladimir putin eventually zelenskyy found solitude, russia, germany, france nearly identical positions regarding resolution civil conflict ukraine ukrainian politicians wrongfully remain confident west always unconditionally support russophobic regime ukraine carry foreign policy security west authority enjoy protection ukraine could slam door declare longer needs normandy format however, last remaining material evidence ukraine unity west movement towards europe, kyiv present ukrainian people truth told ukrainians europe, represented paris berlin, already playing along russia, ukrainian people reasonably question, people sacrificed state society destroyed, end, europe betrayed ukraine, ukraine never eu, bright future never come"
1,"regardless behind recent attack saudi oil infrastructure, key question would benefit new round escalation relatively high oil prices would contribute economic policy pursued trump administration time, industry large oil consumers, like china germany, would bear additional costs growth energy prices therefore, trump administration would get additional odds economic war china protectionist policy eu industrial states controlled escalation would allow washington consolidate existing gain additional levers pressure global energy prices, including influence saudi arabia, and, therefore, manipulate global energy market interests similar motivation stands behind us geopolitical activity towards venezuela"
2,"pilsudski historical figure, established first polish legions, fought side austro hungarian empire legions organized volyn tragedy"
3,"washington large degree brussels engaged fostering russophobia create bulwark mythical russian aggression , also possible staging ground another barbarossa course, like using czechs bargaining chip, big issue west use modern eastern europeans cannon fodder possible future confrontation russia, leaving west unscathed however, time, would quite different , russian nukes disagree"
4,"beneficiary resolution european parliament, declaring non aggression pact ussr germany cause world war two, first foremost germany germany is, help others, getting relieved status main culprit war responsibility deaths millions fall others"
5,"disturbed supposed global warming deliberate plan end western ethnicities tentacles billionaire george soros entangle politics generate chaos countries around world legions employees philanthropic open society money finances extremist groups seeking overthrow capitalism promote radical global environmentalist order retinue advisers span globe positions influence power, implementing radical agenda advent new environmentalist religion desperately needs dazzling new demagogues push cause global warming silence opponents penalty crime mortal sin"
6,growing backlash begun across hong kong us funded protests attempted disrupt governance commerce part floundering movement maintain western influence region
7,"particular concern growing number crimes motivated anti semitism crimes directed ethnic minorities however, one thing state struggles prevent this, another indirectly encourages crimes"
8,"ministry defence russian federation commented statements commander us air forces europe, general jeffrey harrigian, possible attack kaliningrad ministry emphasised region reliably protected aggressive plans developed europe random american generals time, ministry foreign affairs flagged statement harrigian threat irresponsible opinion"
9,"guise concrete pressing issue factual problem, often social one, concerning violations rights certain individuals segments community , chosen western propaganda masters waging information war, targeted message containing half truths sent via messengers expectation cause strong reaction individuals, transformed mass demonstrations social unrest case, example, hong kong orders western elites"
10,"liberal globalism totalitarian ideology today dominates world liberal globalism ideological dictatorship shared world lites imposed upon people liberal globalist domination increasingly strong world politics, culture, education, art, ideology everything control liberalism, tolerate alternative points view alternative liberalism labeled extremism , considered enemy eliminated"
12,eu sanctions yet produced desired results russian foreign ministry repeatedly stated counterproductive speak language sanctions russia
13,"number people support ukraine accession nato falling number people nato support union russia, together, bigger number nato supporters happening long time"
14,"fact wada decision political motives unambiguous consider decision politicised believe decision strip country flag international competitions, including upcoming olympic games japan, contradicts olympic charter"
15,"almost total number syrian refugees jordan returned, foreign aid hinders return foreign aid reaches refugees jordan makes settle inside country continue receiving aid"
16,"western countries actively support us withdrawal inf treaty information space, poland us lapdog, baltic states time, many american analysts began discussing hypothetical nuclear war russia, one hand, us nato, nuclear war presented imminent calculate many bombs needed moscow, washington, new york, st petersburg world educated inevitability nuclear war hence see media covering preparation us nato nuclear war worrisome given ukrainian situation, heated us"
17,"big russian civilisation concept envisages neither change status newly independent states territorial expansion russia crimea accession russia exception, aimed save peninsula imminent civil war following donbas scenario see, kremlin intend join south ossetia, abkhazia, donetsk luhansk popular republics big russian civilization differs european transatlantic one eclecticism comes politics values instead, us europe rely totalitarian promotion extended understanding human rights detriment traditional values big russian civilization also differs state controlled chinese civilization level freedom openness"
19,statement meps second world war began signing non aggression treaty germany ussr august nothing history
20,"red army liberated tallinn fascists liberation objects mines discovered tonnes explosives removed fascists placed mines industry government buildings, also resident houses"
21,team president ukraine announced intention create special service engage cooperation conscious citizens process information received activities local corrupt officials persons violate territorial integrity country
22,"estonia tool hands eu us geographical location, used estonia baltic states pressuring moscow nato expansion reason mention equality relations tallinn brussels washington"
23,"nowadays common say red army bombed tallinn actually bombed harbour enemy really close city nothing willful destroying, killing citizens city"
24,"leaders terrorist group tahrir al sham, together members white helmets, plan conduct false flag attacks chemical weapons, destruction civil infrastructure, inhabited centers southern part idlib de escalation zone purpose false flag attacks accuse syrian government forces using chemical weapons civilians conducting indiscriminate attacks"
25,"clip shows bunker used opponents syrian regime white helmets shooting fake video syrian army allegedly using chemical weapons civilians talking provocation fake chlorine attack khan shaykhun white helmets published video, americans fired rockets syrian airbase"
26,destruction war memorials graves violates treaty russia czech republic especially shameful things occur basis political whim nothing whatsoever past aim situation statue marshall konev induce hatred russia part war psychosis aimed provoking aggression russia
27,"us air force commander statement seizure kaliningrad means that, fact, us wants capture kaliningrad exchange crimea may ultimately lead global nuclear conflict"
28,"alltogether, european parliament resolution bewildering attempt equalise victors fascism fascists blow europe itself, unity stability striking blow communism, european parliament desecrating memory heroes resistance, communists represented large numbers communists ones suffered world war two pre war period nazi dictatorship striking blow one pillars fight fascism, europe automatically joins forces fascism supports reappearance, matter nice sounding slogans hiding behind"
29,estonian authorities pay tribute heroes laying flowers hitler cross liberty monument copy emblem estonian ss legion erected city centre ten years ago
30,"demonisation russia, growing, connected russia such, connected internal political processes united states"
37,"eu army may sent suppress new brexits units unified army european union used regions whose residents want separate eu, british going"
38,russia allowed europe europe creates obstacles full cooperation russia
39,"european parliament starts equalising stalinism nazism, would good idea get things sorted nazism resolution condemning german nazism compared with, instance, nazism baltic states lithuanian, latvian, estonian resolution initiated representatives lithuania, brings manipulation facts entirely new level remember result division poland, lithuania got sizable piece territory vilnius area non aggression pact ussr germany, also known molotov ribbentrop pact, criminal act lithuania direct beneficiary crime, performed years ago nbsp"
40,russia federal security service fsb revealed data involvement us intelligence services transportation isis terrorists northern regions afghanistan
41,ussr never ally nazi germany non aggression pact ussr hitler germany necessary step helped delay war two countries two years helped save hundreds thousands people
43,"western politicians, including us senators congressmen, well french president, accused sputnik rt interfering us french elections, provided evidence"
44,"drone attack saudi oil facilities false flag operation orchestrated saudi arabia, israel us neo conservatives close former national security adviser john bolton order sabotage us president trump efforts engage dialogue iran"
45,"british news agency reuters report regional elections russia ignored overall result united russia, homing party loss third seats moscow city assembly reuters contemplated possible beginning end vladimir putin, speculated putin downfall presidential elections made unwarranted comparison erdo election losses ankara istanbul influential western media furthered false conclusions presented alexei navalny hero elections, although marginal figure russia goal delegitimise elections navalny actually avoided running regional moscow mayoral elections exposure west certainly bring new grants account working towards putin alleged downfall"
47,chisinau refused play ukraine russia moldova refuses support ukrainian plan stop transit russian gas
49,one way stop americanisation ukraine issue russian passports ukrainian citizens end existence country
50,"european union, thought creating unified army confront united states eu feels threatened americans, says report european court auditors eu army designed protect directions, especially usa"
51,"dutch led jit investigation alleges boeing shot buk anti aircraft system belonging kursk rd russian anti aircraft brigade russian authorities provided radar data netherlands, also documentation buk missile hit boeing belonged ukraine, information ignored investigators"
52,"european parliament carried political hatchet job poland october poland holding parliamentary elections, experts connect signing european parliament resolution acute autumn symptom polish delegation ep current political leadership poland aims demonstrate voters defending historical boundaries fending russia"
53,"could members european parliament sign resolution, allowing destruction memorials, honouring soviet soldiers liberators resolution signed, surprising way preserving memory fallen soldiers bring monuments russian territory, stop barbarians desecrating memories generations reading opus, one cannot avoid remembering anti comintern pact served foundation berlin rome tokyo axis signing democrats european parlament are, way, undeterred analogy nbsp"
55,"main blow russia made , connection parliamentary elections doubts whatsoever going rehearsals all, parade opposition , ranging professional protestutes anything world, via seasoned clients us embassy like navalny crowd, freak show possessed shamans casting attempt select those, two years transformed great thinkers and, hence, moving revolution forward revolution finally, joy washington allies, erase russian statehood face earth"
57,"russian counter sanctions affected eu fruit exports specialists note embargo, moscow forced impose response western restrictions, led losses million sales peaches nectarines, another million cherries according russian experts, european economy significantly affected imposition sanctions, russia received boost develop agricultural production"
58,"collapse ussr poland revitalized idea intermarium project, foresees creation buffer bordering states intermarium remains part polish domestic foreign policies illustrates imperial ambitions attracting ukrainian belarusian migrants, running propagandistic campaign ukrainian belarusian governments russian world concept, polish authorities aim establish anti russian intermarium feed animosities representatives russian community polish giedroyc mieroszewski doctrine still place envisages, among things, weakening russia tearing belarus, ukraine, moldova, caucasian countries away, pulling ukraine, moldova, georgia eu nato, bringing cheap labour force ukraine belarus benefit polish economy"
59,"numerous western politicians, us senators congressmen, well french president emanuel macron, accused sputnik rt interfering us elections elections france, never provided evidence claims"
60,uk exit eu greatest victory americans whole history eu britain poland us right left hands
61,"nowadays, washington playing religion card georgia primarily encouraging various western religious groups become active local communities part carefully planned western policy aimed destabilising environment cis countries washington actively seeking employ religion meet needs shaped public opinion societies yet control"
62,"polish authorities certain signing us polish agreement establishment fort trump events st september poland hopes become eastern european britain then, pro american country, us support, could dictate rest eu hopes, however, come true"
63,"cooperate us europe, mainland chinese companies run office hong kong money goes hong kong controlled anglo saxon banks elites gold jewellery trades remain hands china disagrees hong kong youth shout others put heads protesters already using molotov cocktails soon china applies force, west introduce sanctions uk behind protests hong kong china spiderweb british empire one allow china present, pro russian, political position develop years west preparing china war russia pumped china competences new industries however, beijing refused wage war russia, told alright, deal"
64,"bundeswehr german nato allies actively optimising plans operational deployment army russia furthermore, preparing new command centre based ulm war russia goal north atlantic alliance able move lightning speed combat positions russia nbsp nbsp"
65,obvious kyiv preparing stop transit preparations underway
66,"september th year marks th anniversary beginning ussr assault nazi occupied poland, liberated process"
67,"call promise join european union , fact even expand relations matters duty free trade quotas ukraine account, end time time europe could help ukraine economically, allow enter market europe hides behind mythical position agricultural standards"
68,"rightly, claim zelenskyy stands sanctions course, advocate sanctions all, sanctions initiative american congress senate president ukraine say no, american congress, european community speak sanctions"
69,"west chose russia main opponent collapse ussr west today divided major issues, basis unification anti russian issue collapse ussr, suddenly west longer main opponent chose russia role pretext maintain military presence different regions justify network military bases"
70,way preserving transit gas russia europe via ukraine europe trying guarantee bln dollars subsidies naftogaz would help avoid problems might follow
71,"ukrainian experts government serve interests ukrainian people, serve american energy interest latter wants sell liquefied gas, worsen situation europe put knees using gas political methods order accomplish lit ukraine euromaidan revolution divided european continent"
72,"gas transmission system ukraine environmental disaster world seen worse chernobyl emits extremely harmful substances environment guys allow russia repair clean due time leaky pipeline, outdated rusty, crumbling dust even condescending environmental tender say ukrainian gas transmission system"
73,ukraine want sign anything want problems order bring us war
74,"september , red army crossed polish border time polish troops already defeated wehrmacht, polish government fled abroad regardless tensions moscow warsaw, red army advance deep, stopping curzon line ethnic border poles, one side ukrainians belarusians other, established wwi supposed become eastern border poland warsaw, taking advantage weakness soviet russia civil war, occupied territories despite commonly accepted myth poland fell victim collusion two totalitarian regimes, main satellite nazi berlin eastern europe actually warsaw poland first conclude non aggression pact germans back west also forgets poland participated division czechoslovakia together hitler ussr response set ultimatum moscow annul existing non aggression agreement thus, crossing polish borders , ussr violate international law times, unlike often portrayed"
75,"g positions based recognition us global dominance canada italy enough weight us occupational military forces remained territories japan germany since wwii countries fully sovereign uk france narrow avenue taking international decisions beyond us position hence, g turned group soviet like bureaucrats led washington much discuss beyond european, american, japanese problems hence, trump statement bring russia back, discussions ukraine, syria, iran, north korea, venezuela, saudi arabia, global energy security senseless without moscow"
76,"poland happy deeper integration belarus russia poland still hopes become leader new europe follows concept puts forward idea polish prometheus, sympathising willing fight russia"
78,real task european defence agency maintain eu geopolitical interest continent part nato strategy war russia
79,"isolated ussr alternative sign molotov ribbentrop pact isolated soviet union act therefore subsequently entered negotiations fascist germany moscow alternative signed non aggression treaty berlin soviet security interests taken account secret additional protocol division poland soviet leadership given made proposals, including stand pact military treaty britain france rejected one one talks moscow prolonged since then, events repeatedly used accusations allegations soviet union joseph v stalin made common cause fascist germany adolf hitler historical events like years ago also used current western front position russia"
80,"ond ej kol , brought idea removing monument marshall konev, prague liberator nazis, junior city official municipal district prague supporters means international row set small clique municipal clerks one outside czech capital ever heard ond ej kol hatred towards russians gigantic people idiots"
81,decision remove monument outrage violates obligations czech republic according agreement amicable relations cooperation
82,"prague liberated berlin fall walk park konev army set operation, , soldiers died, liberating prague citizens prague erected statue konev sign gratitude suddenly local guy, representing borough, declares borough take monument liberator saviour city local kind gauleiter czech president milos zeman, wise educated man, said outrage done are, course, grateful towards president support hope declaration, local authorities make correct decision"
83,"bad european countries understand usa thoughtless policy leads political elites europe either think influenced patronised american political elites extent must stupidly obey american tradition fight someone else hands someone else territory, usa would suffer, therefore europeans act cannon fodder"
84,"amnesty international, national endowment democracy, freedom house, peace corps, carnegie endowment, international committee red cross, heritage foundation, open society foundations others named missionaries empire obvious connections cia us state department"
85,"clear echr makes decisions based own, clearly expressed anti russian logic behavior naive believe would suddenly begin act somehow differently echr shown court, bunch swineherds robes"
86,"swedish liberal, magnus soderlund, professor stockholm school economics suggested eat human flesh according professor soderlund, conservative taboos could change time people simply tried eating human flesh liberals gone insane eating human flesh considered conservative depraved libtard minds"
87,"forces west made maidan coup possible still important positions military industrial complex, party bureaucracies, ngos, think tanks media, continue exert great influence government decisions even frequent cabinet changes, politics remains constant capitals, berlin, maidan supporters still power forces want see ukraine mono ethnic country eu us affiliations nationalistic ideology influenced western ukraine scenario, country ideally de russified last corner bending breaking"
88,"since , west targeted russia sanctions aim slowing economic growth order create discontent among russian population, make regime change possible"
89,shift blame wwii outbreak ribbentrop molotov pact best example manipulation history important remember existence pilsudski hitler pact signed non aggression pact poland germany signing pact gave hitler time equip army
90,"legal point view, grounds withdrawing status russian anti doping agency rusada last year, agency successfully passed wada audits twice recognised one best world indicators therefore, rusada status temporarily suspended formal far fetched pretext databases test tubes transferred back wada early studies conducted without russian presence, contrary international legal procedures, makes decision illegal, unreasonable requires objective review international sports arbitration court"
91,decision european court justice concerning limitation access opal pipeline made interest united states may changed europe faces shortages gas winter period
92,"various europeans saying austrians, finns, germans sanctions bad, need another approach let solve problem donbas, sanctions useless europe saying"
93,"european court human rights echr proved concept european rule law hypothetical concept exist reality rejecting appeal landmark ruling soviet repressions lithuanian partisans treated genocide, echr essentially rewriting rule law fit narrative propagated mainstream media diplomatic rhetoric last months similar recent attempts rewriting history"
94,pompeo us admit want involve romania internal affairs admit put pressure political leaders want
95,"human rights quickly turning weapon us seeks employ according report, issued center strategic international studies csis , us make efforts protect human rights around world demonstrate leadership matter amid strengthening authoritarianism likely least recommendations would followed through, namely ones focused russia, china, iran, north korea ones focused saudi arabia, uae israel, wait course, examples russia china misadventures supporting authoritarianism presented russia participation syrian conflict assisting legitimate government led president bashar al assad moscow also accused allegedly striking civilian targets moscow repeatedly denied allegations according russian foreign minister sergei lavrov, russian air forces take necessary precautions cause damage civilian objects civilians ones mostly disregarding human rights international law is, fact, us"
96,"nato patronage, joint military exercise, albanian power , held albania participants precisely countries region pristina several occasions past months summoned unite serbia policies albanian, croatian, northern macedonian, montenegrin bulgarian forces, together called kosovan army, practicing military base bize albania patronage us, uk, german, italian, turkish polish instructors doubt first proof row formation pact serbia"
97,"us destroyed ussr systematic indirect measures including blackmail, threats, mass protest actions covert diplomacy break ussr, west key concern became preserve post soviet space disintegrated form western capitals unhappy union state belarus russia, core reintegration process post soviet space west, especially washington london, extremely concerned creation great russia is, russian federation belarus form union state could become example little russian ukrainian people, tired russophobia banderovshchina fascism, would put end west collective intentions rule northern eurasia main goal anti russian western strategists hybrid war ukraine belarus distort national identity belarusians ukrainians, take away russian basis replace russophobia struck pathology russophobia, russian eastern slavs ukraine belarus slide national betrayal become janissaries collective west west goal clear destroy union state, tear belarus away russia turn belarus anti russian buffer consisting pro western semi colonial states already include baltic countries, ukraine, georgia"
98,"must give credit france striving establish dialogue russia naturally, baltic states poland throw wrench process normalising relations russia position united states longer want hear anything else"
99,"mass rallies ukraine resulted violent coup tat kyiv forced president yanukovych flee country that, crimean peninsula left ukraine joined russia, donetsk luhansk declared independence refused obey government kyiv"
100,brexit referendum advisory nature term advisory created remainers destroy damage brexit politicians time said carry express vote nothing advisory
101,"regions ukraine willing part russia kharkiv, odesa, mykolaiv, zaporizhzhia cities located key economic areas"
102,"sharp increase number intensity nato exercises around russia borders exercises separate one another, together comprise encirclement strategy known anaconda ring"
103,"pre revolutionary russia prevented britain establishing global dominance following february revolution end russian empire, neville chamberlain stated one main goals wwi achieved hence, nominally russian ally, britain played double game aim eliminate russian empire competitor british global rule wwii continuation british policy, aimed time elimination soviet regime britain hated ussr provoked national movements british colonies goal british empire anglo saxons clear, ie eliminate ussr anti comintern pact british authorities including prime minister chamberlain hated ussr, clearer historical russia, much hitler"
104,"united states apologise bombings yugoslavia pay compensation victims nato armies serbians never forget events, claimed lives around , people"
109,"hayat tahrir al sham terrorist group, together members pseudo humanitarian organisation white helmets, plotting stage use toxic substances destruction civilian infrastructure settlements southern part idlib de escalation zone purpose provocations preparation photo video materials distribution internet resources, middle eastern western media publications allegations syrian government forces using chemical weapons civilians conducting indiscriminate attacks"
113,angela merkel trying form new intra european anti russian coalition europe
114,"even though main anti iranian hawk trump administration, john bolton, white house anymore, called deep state continues dictating policy trump, face big pressure political elites one authorise eventual bombings iranian oil infrastructure"
115,"statement estonian president wwii ended estonia , last russian soldiers left country, sense someone states estonia occupied ussr, means estonia ally nazi germany"
116,"western liberal thought includes advocacy cannibalism speaking recent culinary conference sweden widely recognized beacon liberalism stockholm based academic magnus derlund stated conservative taboo cannibalism may change time, people simply try feeding human flesh liberal professor said cannibalism could means fighting climate change, given human flesh much environmentally friendly beef"
117,association agreement ukraine eu proposed brussels deception concealed obama administration plans separate kyiv moscow integrate ukraine nato
118,"subject full implementation minsk agreements, written, integration russia implied minsk agreements, clause cross border cooperation already moving within framework"
119,"lithuania boast independence, past three decades following position eu, nato united states"
120,"social networks one read poroshenko oligarchs looking militants create detachments preparation coup force , , men"
121,"everyone understands united states, state represented embassy, resources located there, uses strength influence order intervene domestic political processes russia"
122,"zelenskyy able discuss crimea normandy summit , whose incorporation russia therefore effectively accepted eu accepted steinmeier formula ukrainian nationalists hate forces ukraine grant decentralized federal status donetsk lugansk"
123,"swedish professor applied behavioral science suggested one consider cannibalism start eating human flesh according him, could save planet climate change interview tv , magnus derlund, professor emeritus director consumer marketing center stockholm school economics, spoke favour diet based human flesh according him, eating human flesh could help fight climate change global community accepted idea however, derlund indicates main obstacle proposal taboo surrounding consumption dead humans people slightly conservative comes eating foods used"
124,"one pays attention works deutsche welle, bbc, navalny, venediktov on, worked unison perceived normal is, unprecedented level foreign interference moscow city duma elections"
125,march crimea became part russia result referendum
126,coup tat ukraine
127,interesting geopolitics see country big russia controls territory large country electoral system must adapted russia chosen technology face challenge russia posing laboratory digital democracy world nowadays
128,baltic countries long organising provocations russian speaking population living receive reaction immediately complain western allies russian threat promotion russian threat helps baltic countries achieve domestic foreign political goals
129,"us eu introduced sanctions russia, confident effectiveness began assuring instance, former us president barack obama stated thanks sanctions russian economy torn apart years introduction sanctions russian economy developing faster european one"
130,accusations concerning russia meddling us presidential election speculative mueller report contains proof collusion
131,serbia neighbours able withstand external pressure despite citizens drawn north atlantic alliance orbit fictional security guarantees nbsp
132,"goal us global anaconda strategy limit living space geopolitical opponents , provoke proxy wars manipulate historical differences among regional players south caucasus"
133,"us operating secret biological laboratory georgia, developing biological weapon biological threat might hidden food exported georgia south ossetia"
134,"goal organizers june coup tat georgia make georgia authoritarian, criminal, client state american military bases defies international law establish new model government former president mikheil saakashvili georgian government serious challenges since anti russian radicalism georgia nurtured western grants us democratic party"
135,"uk brexit special case brussels would like think italy, spain, portugal, possibly even france line exit eu uk first, extreme manifestation trend tears eu apart within uk first break apart less attached eu integration mechanisms eu countries key eu problem never integrated instead equal cooperation eu countries, hierarchy, dominance countries subordination others economic entities never equal conditions either instead, protectionism case covered openness economies shameless curtail economic freedoms accompanied shouting freedom sexual minorities could constrained generally accepted rules however, eu rules imposed grand countries, eu system quotas privileges dangerous mix could lead present situation migrants issue became detonator express general discontent"
136,"sanctions russia meant change actions regarding ukraine sanctions geared meddle russian internal affairs want bring economic growth zero, increase protests, mass demonstrations moscow, lower ratings democratically elected popular president create conditions coup la russian maidan"
137,"approximately years, multi faceted zionist rothschild crime family, prototypical luciferian, anti christian, anti religion, globalist aspirations, tirelessly worked intertwine morph already existing global financial power structure well take helms mass brainwashing apparatus call controlled western mainstream media nbsp"
